,STATION,DATE,ENTRY_DIFFS,EXIT_DIFFS
0,1 AV,2018-05-19,19241.0,21979.0
1,1 AV,2018-05-20,15258.0,16773.0
2,1 AV,2018-05-21,21686.0,23663.0
3,1 AV,2018-05-22,22712.0,25362.0
4,1 AV,2018-05-23,23654.0,25091.0
5,1 AV,2018-05-24,23388.0,25225.0
6,1 AV,2018-05-25,23479.0,25368.0
7,1 AV,2018-05-26,16280.0,18570.0
8,1 AV,2018-05-27,12713.0,14626.0
9,1 AV,2018-05-28,12175.0,14444.0
10,1 AV,2018-05-29,21606.0,24054.0
11,1 AV,2018-05-30,22857.0,24945.0
12,1 AV,2018-05-31,23042.0,25437.0
13,1 AV,2018-06-01,24477.0,26587.0
14,1 AV,2018-06-02,19045.0,21403.0
15,1 AV,2018-06-03,14946.0,17344.0
16,1 AV,2018-06-04,22162.0,23466.0
17,1 AV,2018-06-05,20847.0,23066.0
18,1 AV,2018-06-06,23643.0,25002.0
19,1 AV,2018-06-07,22116.0,23924.0
20,1 AV,2018-06-08,24405.0,26339.0
21,1 AV,2018-06-09,18889.0,20128.0
22,1 AV,2018-06-10,14367.0,16176.0
23,1 AV,2018-06-11,21548.0,23359.0
24,1 AV,2018-06-12,22581.0,23998.0
25,1 AV,2018-06-13,22684.0,24213.0
26,1 AV,2018-06-14,23746.0,25031.0
27,1 AV,2018-06-15,18035.0,19332.0
28,103 ST,2018-05-19,19170.0,12915.0
29,103 ST,2018-05-20,16356.0,11487.0
30,103 ST,2018-05-21,32972.0,22039.0
31,103 ST,2018-05-22,34554.0,23350.0
32,103 ST,2018-05-23,35354.0,23241.0
33,103 ST,2018-05-24,33248.0,22894.0
34,103 ST,2018-05-25,33969.0,22797.0
35,103 ST,2018-05-26,17142.0,12089.0
36,103 ST,2018-05-27,12994.0,9349.0
37,103 ST,2018-05-28,15771.0,11919.0
38,103 ST,2018-05-29,33391.0,22797.0
39,103 ST,2018-05-30,34679.0,23726.0
40,103 ST,2018-05-31,34758.0,23776.0
41,103 ST,2018-06-01,35120.0,21174.0
42,103 ST,2018-06-02,20265.0,15547.0
43,103 ST,2018-06-03,16039.0,12902.0
44,103 ST,2018-06-04,33147.0,22602.0
45,103 ST,2018-06-05,35108.0,23788.0
46,103 ST,2018-06-06,35064.0,23564.0
47,103 ST,2018-06-07,34084.0,23615.0
48,103 ST,2018-06-08,34785.0,23212.0
49,103 ST,2018-06-09,22567.0,13543.0
50,103 ST,2018-06-10,16335.0,10244.0
51,103 ST,2018-06-11,32683.0,22472.0
52,103 ST,2018-06-12,34824.0,23880.0
53,103 ST,2018-06-13,34809.0,22859.0
54,103 ST,2018-06-14,35035.0,23190.0
55,103 ST,2018-06-15,30621.0,18828.0
56,103 ST-CORONA,2018-05-19,14090.0,11290.0
57,103 ST-CORONA,2018-05-20,11642.0,9828.0
58,103 ST-CORONA,2018-05-21,20170.0,14787.0
59,103 ST-CORONA,2018-05-22,20370.0,14773.0
60,103 ST-CORONA,2018-05-23,21066.0,14781.0
61,103 ST-CORONA,2018-05-24,20872.0,14306.0
62,103 ST-CORONA,2018-05-25,20416.0,14710.0
63,103 ST-CORONA,2018-05-26,14222.0,10824.0
64,103 ST-CORONA,2018-05-27,10397.0,8572.0
65,103 ST-CORONA,2018-05-28,12461.0,9337.0
66,103 ST-CORONA,2018-05-29,20748.0,14610.0
67,103 ST-CORONA,2018-05-30,20811.0,15011.0
68,103 ST-CORONA,2018-05-31,20573.0,14454.0
69,103 ST-CORONA,2018-06-01,20573.0,14631.0
70,103 ST-CORONA,2018-06-02,14905.0,12192.0
71,103 ST-CORONA,2018-06-03,11392.0,9635.0
72,103 ST-CORONA,2018-06-04,20281.0,13916.0
73,103 ST-CORONA,2018-06-05,20174.0,14293.0
74,103 ST-CORONA,2018-06-06,20800.0,15038.0
75,103 ST-CORONA,2018-06-07,20011.0,14153.0
76,103 ST-CORONA,2018-06-08,21292.0,14663.0
77,103 ST-CORONA,2018-06-09,15283.0,12242.0
78,103 ST-CORONA,2018-06-10,11351.0,9742.0
79,103 ST-CORONA,2018-06-11,20239.0,14139.0
80,103 ST-CORONA,2018-06-12,20035.0,14296.0
81,103 ST-CORONA,2018-06-13,20150.0,13974.0
82,103 ST-CORONA,2018-06-14,20342.0,14202.0
83,103 ST-CORONA,2018-06-15,18363.0,11278.0
84,104 ST,2018-05-19,1572.0,792.0
85,104 ST,2018-05-20,1163.0,626.0
86,104 ST,2018-05-21,3227.0,1303.0
87,104 ST,2018-05-22,3238.0,1501.0
88,104 ST,2018-05-23,3272.0,1501.0
89,104 ST,2018-05-24,3363.0,1463.0
90,104 ST,2018-05-25,3173.0,1376.0
91,104 ST,2018-05-26,1480.0,707.0
92,104 ST,2018-05-27,1056.0,541.0
93,104 ST,2018-05-28,1353.0,618.0
94,104 ST,2018-05-29,3185.0,1391.0
95,104 ST,2018-05-30,2924.0,1387.0
96,104 ST,2018-05-31,3205.0,1413.0
97,104 ST,2018-06-01,3026.0,1334.0
98,104 ST,2018-06-02,1603.0,737.0
99,104 ST,2018-06-03,1210.0,591.0
100,104 ST,2018-06-04,3175.0,1457.0
101,104 ST,2018-06-05,2804.0,1399.0
102,104 ST,2018-06-06,3202.0,1413.0
103,104 ST,2018-06-07,3115.0,1361.0
104,104 ST,2018-06-08,3190.0,1378.0
105,104 ST,2018-06-09,1738.0,816.0
106,104 ST,2018-06-10,1273.0,631.0
107,104 ST,2018-06-11,3044.0,1435.0
108,104 ST,2018-06-12,3254.0,1415.0
109,104 ST,2018-06-13,2835.0,1329.0
110,104 ST,2018-06-14,3190.0,1372.0
111,104 ST,2018-06-15,2760.0,1000.0
112,110 ST,2018-05-19,6968.0,6530.0
113,110 ST,2018-05-20,5548.0,5532.0
114,110 ST,2018-05-21,11605.0,9184.0
115,110 ST,2018-05-22,11759.0,9490.0
116,110 ST,2018-05-23,12093.0,9680.0
117,110 ST,2018-05-24,12036.0,9619.0
118,110 ST,2018-05-25,12003.0,9609.0
119,110 ST,2018-05-26,6915.0,6143.0
120,110 ST,2018-05-27,4921.0,4669.0
121,110 ST,2018-05-28,5619.0,5127.0
122,110 ST,2018-05-29,11407.0,9039.0
123,110 ST,2018-05-30,11730.0,9632.0
124,110 ST,2018-05-31,11408.0,9425.0
