,hir,STATION,0_x,1_x,WEEK_RATIO_x,TRAFFIC,0_y,1_y,WEEK_RATIO_y,0,1,WEEK_RATIO
0,10610.0,59 ST,160.0,333.0,2.08125,119250.5,160.0,333.0,2.08125,57064.0,124456.5,2.1809985279685966
18,14050.0,BOROUGH HALL,99.0,277.5,2.803030303030303,60754.5,99.0,277.5,2.803030303030303,22689.5,62748.0,2.765508274752639
19,14050.0,JAY ST-METROTEC,108.0,249.0,2.305555555555556,63986.5,108.0,249.0,2.305555555555556,25543.5,65474.5,2.563254839783115
38,14930.0,104 ST,53.0,104.0,1.962264150943396,4418.0,53.0,104.0,1.962264150943396,2098.5,4570.5,2.1779842744817732
49,14680.0,81 ST-MUSEUM,124.5,534.0,4.289156626506024,27620.0,124.5,534.0,4.289156626506024,11143.0,30997.5,2.7817912590864218
60,14680.0,88 ST,87.0,153.0,1.7586206896551724,4054.0,87.0,153.0,1.7586206896551724,1727.0,4088.5,2.3674001158077598
67,10610.0,5 AV/53 ST,131.5,372.0,2.828897338403042,55188.0,131.5,372.0,2.828897338403042,16347.0,57090.0,3.4923839236557166
74,10580.0,FOREST HILLS 71,123.0,238.0,1.9349593495934958,41773.0,123.0,238.0,1.9349593495934958,19853.0,43194.0,2.1756913312849444
75,10580.0,75 AV,22.0,24.0,1.0909090909090908,3686.0,22.0,24.0,1.0909090909090908,1035.5,3850.0,3.718010622887493
85,12280.0,15 ST-PROSPECT,55.5,101.5,1.8288288288288288,10125.5,55.5,101.5,1.8288288288288288,5137.0,10356.5,2.0160599571734474
92,11800.0,72 ST-2 AVE,195.0,614.0,3.1487179487179486,57152.5,195.0,614.0,3.1487179487179486,23858.0,58849.0,2.4666359292480506
96,9360.0,GROVE STREET,147.0,302.5,2.057823129251701,42953.5,147.0,302.5,2.057823129251701,19437.0,44437.0,2.286206719143901
101,12580.0,18 ST,121.0,190.0,1.5702479338842976,14086.5,121.0,190.0,1.5702479338842976,7258.0,14972.0,2.06282722513089
114,11800.0,68ST-HUNTER CO,108.0,389.0,3.601851851851852,36700.0,108.0,389.0,3.601851851851852,14715.5,39142.0,2.659916414664809
