,zipcode,agi_stub
102614,10001,1
102615,10001,2
102616,10001,3
102617,10001,4
102618,10001,5
102619,10001,6
102620,10002,1
102621,10002,2
102622,10002,3
102623,10002,4
102624,10002,5
102625,10002,6
102626,10003,1
102627,10003,2
102628,10003,3
102629,10003,4
102630,10003,5
102631,10003,6
102632,10004,1
102633,10004,2
102634,10004,3
102635,10004,4
102636,10004,5
102637,10004,6
102638,10005,1
102639,10005,2
102640,10005,3
102641,10005,4
102642,10005,5
102643,10005,6
102644,10006,1
102645,10006,2
102646,10006,3
102647,10006,4
102648,10006,5
102649,10006,6
102650,10007,1
102651,10007,2
102652,10007,3
102653,10007,4
102654,10007,5
102655,10007,6
102656,10009,1
102657,10009,2
102658,10009,3
102659,10009,4
102660,10009,5
102661,10009,6
102662,10010,1
102663,10010,2
102664,10010,3
102665,10010,4
102666,10010,5
102667,10010,6
102668,10011,1
102669,10011,2
102670,10011,3
102671,10011,4
102672,10011,5
102673,10011,6
102674,10012,1
102675,10012,2
102676,10012,3
102677,10012,4
102678,10012,5
102679,10012,6
102680,10013,1
102681,10013,2
102682,10013,3
102683,10013,4
102684,10013,5
102685,10013,6
102686,10014,1
102687,10014,2
102688,10014,3
102689,10014,4
102690,10014,5
102691,10014,6
102692,10016,1
102693,10016,2
102694,10016,3
102695,10016,4
102696,10016,5
102697,10016,6
102698,10017,1
102699,10017,2
102700,10017,3
102701,10017,4
102702,10017,5
102703,10017,6
102704,10018,1
102705,10018,2
102706,10018,3
102707,10018,4
102708,10018,5
102709,10018,6
102710,10019,1
102711,10019,2
102712,10019,3
102713,10019,4
102714,10019,5
102715,10019,6
102716,10021,1
102717,10021,2
102718,10021,3
102719,10021,4
102720,10021,5
102721,10021,6
102722,10022,1
102723,10022,2
102724,10022,3
102725,10022,4
102726,10022,5
102727,10022,6
102728,10023,1
102729,10023,2
102730,10023,3
102731,10023,4
102732,10023,5
102733,10023,6
102734,10024,1
102735,10024,2
102736,10024,3
102737,10024,4
102738,10024,5
102739,10024,6
102740,10025,1
102741,10025,2
102742,10025,3
102743,10025,4
102744,10025,5
102745,10025,6
102746,10026,1
102747,10026,2
102748,10026,3
102749,10026,4
102750,10026,5
102751,10026,6
102752,10027,1
102753,10027,2
102754,10027,3
102755,10027,4
102756,10027,5
102757,10027,6
102758,10028,1
102759,10028,2
102760,10028,3
102761,10028,4
102762,10028,5
102763,10028,6
102764,10029,1
102765,10029,2
102766,10029,3
102767,10029,4
102768,10029,5
102769,10029,6
102770,10030,1
102771,10030,2
102772,10030,3
102773,10030,4
102774,10030,5
102775,10030,6
102776,10031,1
102777,10031,2
102778,10031,3
102779,10031,4
102780,10031,5
102781,10031,6
102782,10032,1
102783,10032,2
102784,10032,3
102785,10032,4
102786,10032,5
102787,10032,6
102788,10033,1
102789,10033,2
102790,10033,3
102791,10033,4
102792,10033,5
102793,10033,6
102794,10034,1
102795,10034,2
102796,10034,3
102797,10034,4
102798,10034,5
102799,10034,6
102800,10035,1
102801,10035,2
102802,10035,3
102803,10035,4
102804,10035,5
102805,10035,6
102806,10036,1
102807,10036,2
102808,10036,3
102809,10036,4
102810,10036,5
102811,10036,6
102812,10037,1
102813,10037,2
102814,10037,3
102815,10037,4
102816,10037,5
102817,10037,6
102818,10038,1
102819,10038,2
102820,10038,3
102821,10038,4
102822,10038,5
102823,10038,6
102824,10039,1
102825,10039,2
102826,10039,3
102827,10039,4
102828,10039,5
102829,10039,6
102830,10040,1
102831,10040,2
102832,10040,3
102833,10040,4
102834,10040,5
102835,10040,6
102836,10044,1
102837,10044,2
102838,10044,3
102839,10044,4
102840,10044,5
102841,10044,6
102842,10065,1
102843,10065,2
102844,10065,3
102845,10065,4
102846,10065,5
102847,10065,6
102848,10069,1
102849,10069,2
102850,10069,3
102851,10069,4
102852,10069,5
102853,10069,6
102854,10075,1
102855,10075,2
102856,10075,3
102857,10075,4
102858,10075,5
102859,10075,6
102860,10119,1
102861,10119,2
102862,10119,3
102863,10119,4
102864,10119,5
102865,10119,6
102866,10128,1
102867,10128,2
102868,10128,3
102869,10128,4
102870,10128,5
102871,10128,6
102872,10162,1
102873,10162,2
102874,10162,3
102875,10162,4
102876,10162,5
102877,10162,6
102878,10165,1
102879,10165,2
102880,10165,3
102881,10165,4
102882,10165,5
102883,10165,6
102884,10170,1
102885,10170,2
102886,10170,3
102887,10170,4
102888,10170,5
102889,10170,6
102890,10280,1
102891,10280,2
102892,10280,3
102893,10280,4
102894,10280,5
102895,10280,6
102896,10282,1
102897,10282,2
102898,10282,3
102899,10282,4
102900,10282,5
102901,10282,6
102902,10301,1
102903,10301,2
102904,10301,3
102905,10301,4
102906,10301,5
102907,10301,6
102908,10302,1
102909,10302,2
102910,10302,3
102911,10302,4
102912,10302,5
102913,10302,6
102914,10303,1
102915,10303,2
102916,10303,3
102917,10303,4
102918,10303,5
102919,10303,6
102920,10304,1
102921,10304,2
102922,10304,3
102923,10304,4
102924,10304,5
102925,10304,6
102926,10305,1
102927,10305,2
102928,10305,3
102929,10305,4
102930,10305,5
102931,10305,6
102932,10306,1
102933,10306,2
102934,10306,3
102935,10306,4
102936,10306,5
102937,10306,6
102938,10307,1
102939,10307,2
102940,10307,3
102941,10307,4
102942,10307,5
102943,10307,6
102944,10308,1
102945,10308,2
102946,10308,3
102947,10308,4
102948,10308,5
102949,10308,6
102950,10309,1
102951,10309,2
102952,10309,3
102953,10309,4
102954,10309,5
102955,10309,6
102956,10310,1
102957,10310,2
102958,10310,3
102959,10310,4
102960,10310,5
102961,10310,6
102962,10312,1
102963,10312,2
102964,10312,3
102965,10312,4
102966,10312,5
102967,10312,6
102968,10314,1
102969,10314,2
102970,10314,3
102971,10314,4
102972,10314,5
102973,10314,6
102974,10451,1
102975,10451,2
102976,10451,3
102977,10451,4
102978,10451,5
102979,10451,6
102980,10452,1
102981,10452,2
102982,10452,3
102983,10452,4
102984,10452,5
102985,10452,6
102986,10453,1
102987,10453,2
102988,10453,3
102989,10453,4
102990,10453,5
102991,10453,6
102992,10454,1
102993,10454,2
102994,10454,3
102995,10454,4
102996,10454,5
102997,10454,6
102998,10455,1
102999,10455,2
103000,10455,3
103001,10455,4
103002,10455,5
103003,10455,6
103004,10456,1
103005,10456,2
103006,10456,3
103007,10456,4
103008,10456,5
103009,10456,6
103010,10457,1
103011,10457,2
103012,10457,3
103013,10457,4
103014,10457,5
103015,10457,6
103016,10458,1
103017,10458,2
103018,10458,3
103019,10458,4
103020,10458,5
103021,10458,6
103022,10459,1
103023,10459,2
103024,10459,3
103025,10459,4
103026,10459,5
103027,10459,6
103028,10460,1
103029,10460,2
103030,10460,3
103031,10460,4
103032,10460,5
103033,10460,6
103034,10461,1
103035,10461,2
103036,10461,3
103037,10461,4
103038,10461,5
103039,10461,6
103040,10462,1
103041,10462,2
103042,10462,3
103043,10462,4
103044,10462,5
103045,10462,6
103046,10463,1
103047,10463,2
103048,10463,3
103049,10463,4
103050,10463,5
103051,10463,6
103052,10464,1
103053,10464,2
103054,10464,3
103055,10464,4
103056,10464,5
103057,10464,6
103058,10465,1
103059,10465,2
103060,10465,3
103061,10465,4
103062,10465,5
103063,10465,6
103064,10466,1
103065,10466,2
103066,10466,3
103067,10466,4
103068,10466,5
103069,10466,6
103070,10467,1
103071,10467,2
103072,10467,3
103073,10467,4
103074,10467,5
103075,10467,6
103076,10468,1
103077,10468,2
103078,10468,3
103079,10468,4
103080,10468,5
103081,10468,6
103082,10469,1
103083,10469,2
103084,10469,3
103085,10469,4
103086,10469,5
103087,10469,6
103088,10470,1
103089,10470,2
103090,10470,3
